Cesium Sulfate, II (Cs2SO4)	Cs2O4S1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-27.732	-1433.163	-1433.163	INFINITE
100	89.287	91.922	317.566	-22.564	-1438.791	-1401.080	731.849
200	114.767	162.172	223.551	-12.276	-1441.328	-1362.260	355.786
298.15	135.143	211.878	211.878	0.	-1442.643	-1323.155	231.811
300	135.478	212.715	211.880	0.250	-1442.663	-1322.413	230.253
400	151.293	253.916	217.391	14.610	-1449.401	-1280.787	167.254
500	164.557	289.120	228.298	30.411	-1449.910	-1238.562	129.392
600	176.816	320.158	241.069	47.453	-1448.986	-1196.356	104.152
700	192.255	348.512	254.416	65.867	-1446.621	-1154.417	86.144
800	212.464	375.547	267.877	86.136	-1442.424	-1112.937	72.667
900	228.697	401.504	281.293	108.190	-1489.626	-1071.010	62.160
940.000	235.337	411.592	286.624	117.470	II <--> I
1000	245.266	426.458	294.570	131.888	1615.161  1017.551 53.151
1100	261.835	450.612	307.663	157.244	-1602.852	-958.373	45.509
1200	278.362	474.103	320.558	184.254	-1588.984	-900.384	39.193
