Lithium Chloride (LiCl)	Cl1Li1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.305	-408.359	-408.359	INFINITE
100	36.313	13.585	98.646	-8.506	-409.511	-400.685	209.296
200	43.350	41.045	63.555	-4.502	-408.867	-392.114	102.410
298.15	48.028	59.300	59.300	0.	-408.266	-384.019	67.279
300	48.095	59.597	59.301	0.089	-408.254	-383.869	66.838
400	50.969	73.853	61.225	5.051	-407.628	-375.837	49.079
500	53.342	85.484	64.948	10.268	-410.130	-367.643	38.407
600	55.593	95.409	69.217	15.715	-409.482	-359.202	31.271
700	57.781	104.144	73.595	21.384	-408.574	-350.891	26.184
800	59.936	112.000	77.912	27.270	-407.434	-342.726	22.378
883.000	61.702	118.003	81.402	32.318	CRYSTAL <--> LIQUID
900	62.061	119.183	82.105	33.370	406.085  334.716 19.426
1000	64.170	125.831	86.149	39.682	-404.528	-326.868	17.074
1100	66.266	132.045	90.042	46.204	-402.762	-319.185	15.157
1200	68.358	137.901	93.788	52.935	-400.788	-311.673	13.567
1300	70.452	143.455	97.397	59.876	-398.606	-304.334	12.228
1400	72.534	148.752	100.877	67.025	-396.213	-297.170	11.088
1500	74.598	153.827	104.239	74.381	-393.610	-290.186	10.105
1600	76.663	158.707	107.492	81.945	-390.796	-283.381	9.251
1700	78.731	163.417	110.644	89.714	-533.008	-269.583	8.283
1800	80.797	167.976	113.703	97.691	-529.021	-254.202	7.377
1900	82.863	172.399	116.676	105.874	-524.833	-239.047	6.572
2000	84.927	176.702	119.571	114.263	-520.446	-224.119	5.853
