Titanium Oxide, Alpha (TiO)	O1Ti1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.000	0.000	INFINITE	-6.174	-539.668	-539.668	INFINITE
100	12.765	5.732	63.375	-5.764	-541.270	-532.352	278.072
200	30.681	20.585	38.164	-3.516	-542.394	-522.918	136.572
298.15	39.957	34.769	34.769	0.000	-542.665	-513.278	89.924
300	40.062	35.017	34.770	0.074	-542.665	-513.096	89.338
400	44.978	47.274	36.408	4.346	-542.491	-503.257	65.719
500	48.242	57.679	39.648	9.015	-542.092	-493.491	51.555
600	50.836	66.709	43.422	13.972	-541.541	-483.821	42.120
700	53.095	74.719	47.331	19.171	-540.857	-474.253	35.389
800	55.187	81.947	51.214	24.586	-540.035	-464.793	30.348
900	57.153	88.561	55.001	30.204	-539.111	-455.442	26.433
1000	59.078	94.682	58.667	36.016	-538.152	-446.197	23.307
1100	60.961	100.402	62.203	42.018	-537.219	-437.047	20.754
1200	62.802	105.785	65.613	48.206	-540.300	-427.861	18.624
1265.000	63.998	109.129	67.764	52.327	ALPHA <--> BETA
1300	64.643	110.884	68.901	54.578	538.700  418.555 16.818
1400	66.442	115.741	72.075	61.133	-537.011	-409.376	15.274
1500	68.241	120.386	75.142	67.867	-535.248	-400.320	13.940
1600	70.040	124.848	78.110	74.781	-533.422	-391.384	12.777
1700	71.839	129.148	80.986	81.875	-531.546	-382.564	11.755
1800	73.597	133.304	83.778	89.147	-529.636	-373.856	10.849
1900	75.396	137.331	86.491	96.597	-527.704	-365.254	10.042
2000	77.153	141.243	89.131	104.224	-540.450	-356.300	9.306
2100	78.910	145.050	91.704	112.027	-539.263	-347.121	8.634
2200	80.668	148.762	94.214	120.006	-537.912	-338.002	8.025
2300	82.467	152.387	96.664	128.163	-536.394	-328.949	7.471
2400	84.224	155.934	99.060	136.497	-534.710	-319.965	6.964
2500	85.981	159.408	101.405	145.007	-532.861	-311.055	6.499
