Vanadium Oxide (VO)	O1V1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.000	0.000	INFINITE	-6.908	-429.715	-429.715	INFINITE
100	13.895	6.730	71.088	-6.436	-431.184	-422.473	220.677
200	34.100	23.035	42.859	-3.965	-432.005	-413.352	107.956
298.15	45.501	39.011	39.011	0.000	-431.789	-404.210	70.816
300	45.647	39.293	39.012	0.084	-431.778	-404.039	70.350
400	49.580	53.063	40.863	4.880	-431.032	-394.899	51.569
500	51.651	64.356	44.466	9.945	-430.157	-385.966	40.322
600	53.530	73.940	48.599	15.204	-429.199	-377.216	32.840
700	55.343	82.329	52.831	20.648	-428.158	-368.633	27.508
800	57.099	89.834	56.995	26.271	-427.037	-360.206	23.519
900	58.803	96.658	61.029	32.067	-425.846	-351.922	20.425
1000	60.463	102.940	64.910	38.030	-424.586	-343.776	17.957
1100	62.086	108.779	68.635	44.158	-423.259	-335.758	15.944
1200	63.677	114.250	72.211	50.446	-421.879	-327.864	14.272
1300	65.243	119.408	75.645	56.892	-420.450	-320.087	12.861
1400	66.791	124.300	78.947	63.494	-418.983	-312.422	11.657
1500	68.325	128.961	82.127	70.250	-417.478	-304.863	10.616
1600	69.842	133.419	85.195	77.159	-415.936	-297.405	9.709
1700	71.351	137.698	88.158	84.218	-414.366	-290.045	8.912
1800	72.851	141.819	91.025	91.429	-412.774	-282.778	8.206
1900	74.339	145.798	93.804	98.788	-411.171	-275.599	7.577
2000	75.847	149.649	96.500	106.297	-409.565	-268.506	7.013
2063.000	76.747	152.015	98.160	111.104	CRYSTAL <--> LIQUID
2100	77.298	153.385	99.121	113.954	407.967  261.492 6.504
2200	78.781	157.015	101.670	121.758	-429.269	-254.449	6.041
2300	80.250	160.549	104.154	129.710	-427.853	-246.534	5.599
2400	81.718	163.996	106.576	137.808	-426.302	-238.684	5.195
2500	83.183	167.361	108.940	146.053	-424.615	-230.900	4.824
2600	84.646	170.652	111.250	154.445	-422.792	-223.187	4.484
