Titanium Oxide (Ti2O3)	O3Ti2(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.000	0.000	INFINITE	-14.088	-1512.287	-1512.287	INFINITE
100	26.175	11.058	143.900	-13.284	-1516.961	-1490.419	778.515
200	70.793	43.832	85.316	-8.297	-1520.175	-1462.405	381.941
298.15	95.814	77.253	77.253	0.000	-1520.884	-1433.829	251.201
300	96.190	77.847	77.255	0.178	-1520.881	-1433.288	249.558
400	117.529	108.277	81.264	10.805	-1519.938	-1404.187	183.368
470.010	141.716	128.963	86.822	19.807	ALPHA <--> BETA
470.010	127.653	131.384	86.822	20.945	TRANSITION
500	130.248	139.362	89.735	24.813	-1515.999	-1375.626	143.711
600	136.440	163.704	100.081	38.174	-1513.028	-1347.825	117.339
700	140.331	185.051	110.727	52.027	-1509.833	-1320.542	98.540
800	142.967	203.971	121.223	66.199	-1506.516	-1293.726	84.472
900	144.892	220.928	131.375	80.597	-1503.208	-1267.327	73.554
1000	146.356	236.272	141.110	95.162	-1500.078	-1241.288	64.838
1100	147.528	250.277	150.407	109.858	-1497.276	-1215.547	57.722
1200	148.532	263.158	159.273	124.662	-1502.785	-1189.806	51.791
1300	149.369	275.081	167.729	139.558	-1499.224	-1163.870	46.765
1400	150.080	286.177	175.798	154.531	-1495.789	-1138.203	42.467
1500	150.750	296.554	183.506	169.573	-1492.509	-1112.777	38.750
1600	151.377	306.304	190.879	184.680	-1489.413	-1087.564	35.505
1700	151.921	315.497	197.942	199.845	-1486.531	-1062.538	32.648
1800	152.465	324.197	204.716	215.065	-1483.892	-1037.675	30.113
1900	152.925	332.452	211.224	230.334	-1481.528	-1012.950	27.848
2000	153.427	340.309	217.483	245.652	-1508.838	-987.436	25.789
2100	153.888	347.806	223.512	261.018	-1508.597	-961.372	23.913
2115.000	153.953	348.902	224.398	263.327	BETA <--> LIQUID
2200	154.306	354.975	229.326	276.427	1508.348  935.318 22.207
2300	154.766	361.844	234.939	291.881	-1508.087	-909.278	20.650
2400	155.185	368.440	240.365	307.379	-1507.817	-883.249	19.223
2500	155.603	374.783	245.616	322.919	-1507.537	-857.231	17.911
2600	155.980	380.894	250.702	338.497	-1507.250	-831.224	16.700
2700	156.398	386.788	255.634	354.117	-1506.954	-805.229	15.578
2800	156.774	392.483	260.420	369.775	-1506.649	-779.244	14.537
2900	157.151	397.991	265.070	385.471	-1506.337	-753.272	13.568
3000	157.569	403.325	269.590	401.207	-1506.015	-727.309	12.664
