Barium Iodide (BaI2)	Ba1I2(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.000	0.000	INFINITE	-19.230	-604.544	-604.544	INFINITE
100	68.952	84.559	232.338	-14.778	-604.841	-603.789	315.387
200	75.228	134.767	172.276	-7.502	-605.042	-602.675	157.403
298.15	77.488	165.142	165.142	0.000	-605.425	-601.407	105.364
300	77.530	165.622	165.144	0.143	-605.434	-601.382	104.710
400	79.538	188.201	168.209	7.997	-622.236	-599.374	78.270
500	81.546	206.166	174.063	16.051	-666.196	-589.434	61.578
600	83.513	221.207	180.700	24.304	-666.319	-574.057	49.976
700	85.521	234.231	187.437	32.756	-665.450	-558.758	41.695
800	87.529	245.782	194.022	41.408	-664.904	-543.545	35.490
900	89.538	256.207	200.361	50.262	-663.747	-528.443	30.670
984.000	91.211	264.271	205.477	57.853	CRYSTAL <--> LIQUID
1000	91.546	265.743	206.429	59.314	662.403  513.479 26.821
1100	93.617	274.566	212.227	68.573	-669.237	-497.840	23.640
1200	95.653	282.799	217.769	78.036	-667.748	-482.322	20.995
1300	97.653	290.535	223.072	87.702	-665.980	-466.940	18.762
1400	99.617	297.844	228.154	97.566	-663.968	-451.703	16.853
1500	101.546	304.783	233.033	107.624	-661.745	-436.618	15.204
