Sodium Carbonate (Na2CO3)	C1Na2O3(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-20.812	-1124.610	-1124.610	INFINITE
100	61.241	43.237	225.158	-18.192	-1129.086	-1102.556	575.916
200	94.140	97.766	148.470	-10.141	-1130.640	-1075.252	280.827
298.15	111.003	138.797	138.797	0.	-1130.768	-1048.009	183.607
300	111.253	139.484	138.799	0.206	-1130.764	-1047.496	182.385
400	125.102	173.307	143.317	11.996	-1135.696	-1019.370	133.116
500	142.214	203.007	152.332	25.337	-1134.473	-990.400	103.466
600	163.302	230.759	163.106	40.592	-1131.568	-961.826	83.734
700	187.569	257.722	174.702	58.115	-1126.604	-933.897	69.688
723.150	193.385	263.919	177.459	62.524	I <--> II
723.150	143.762	264.873	177.459	63.214	TRANSITION
800	153.344	279.866	186.580	74.628	-1122.835	-906.701	59.202
900	166.230	298.668	197.996	90.605	-1119.776	-879.857	51.066
1000	179.201	316.851	208.977	107.874	-1115.597	-853.412	44.578
1100	192.046	334.537	219.591	126.441	-1110.305	-827.441	39.292
1123.150	195.101	338.569	222.002	130.922	II <--> LIQUID
1200	200.748	351.719	229.891	146.194	1297.547  797.118 34.698
1300	206.188	368.015	239.895	166.556	-1289.016	-755.759	30.367
1400	209.744	383.430	249.602	187.359	-1280.130	-715.071	26.680
1500	212.547	398.000	259.014	208.478	-1271.004	-675.027	23.507
1600	214.765	411.789	268.136	229.845	-1261.701	-635.598	20.750
1700	216.899	424.875	276.974	251.431	-1252.242	-596.755	18.336
1800	218.656	437.323	285.539	273.210	-1242.651	-558.473	16.206
1900	220.204	449.186	293.843	295.153	-1232.955	-520.727	14.316
2000	221.752	460.521	301.895	317.251	-1223.161	-483.495	12.628
