Sodium Iodide (NaI)	I1Na1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-12.523	-287.336	-287.336	INFINITE
100	43.032	45.601	143.089	-9.749	-287.427	-286.556	149.681
200	49.852	78.103	103.207	-5.021	-287.621	-285.606	74.593
298.15	52.225	98.500	98.500	0.	-287.859	-284.572	49.856
300	52.258	98.823	98.501	0.097	-287.865	-284.551	49.545
400	53.806	114.077	100.570	5.403	-299.000	-282.898	36.943
500	55.020	126.213	104.526	10.844	-320.758	-276.772	28.914
600	56.233	136.353	109.008	16.407	-320.088	-268.035	23.335
700	57.363	145.106	113.554	22.087	-319.244	-259.424	19.358
800	58.492	152.840	117.990	27.880	-318.250	-250.945	16.385
900	59.580	159.793	122.255	33.784	-317.128	-242.598	14.080
933.000	59.939	161.945	123.621	35.756	CRYSTAL <--> LIQUID
1000	60.675	166.127	126.330	39.796	315.904  234.381 12.243
1100	61.764	171.961	130.217	45.918	-314.598	-226.292	10.746
1200	62.844	177.381	133.924	52.149	-409.994	-215.884	9.397
1300	63.914	182.454	137.464	58.487	-407.663	-199.802	8.028
1400	64.974	187.229	140.850	64.931	-405.241	-183.903	6.861
1500	66.024	191.748	144.093	71.481	-402.733	-168.180	5.857
1600	67.064	196.042	147.207	78.136	-400.146	-152.627	4.983
1700	68.095	200.139	150.201	84.894	-397.484	-137.238	4.217
1800	69.116	204.060	153.085	91.754	-394.753	-122.008	3.541
1900	70.127	207.824	155.868	98.717	-391.956	-106.931	2.940
2000	71.128	211.446	158.557	105.779	-389.093	-92.004	2.403
