Magnesium Silicate (MgSiO3)	Mg1O3Si1(cr,l)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-12.113	-1539.788	-1539.788	INFINITE
100	23.912	11.117	124.420	-11.330	-1544.271	-1518.053	792.950
200	59.643	39.430	74.617	-7.037	-1547.531	-1490.410	389.255
298.15	81.927	67.768	67.768	0.	-1548.917	-1462.023	256.140
300	82.228	68.276	67.770	0.152	-1548.930	-1461.484	254.467
400	94.194	93.738	71.160	9.031	-1549.184	-1432.276	187.036
500	101.512	115.590	77.915	18.838	-1548.910	-1403.073	146.578
600	106.997	134.600	85.812	29.273	-1548.358	-1373.955	119.613
700	111.621	151.449	94.008	40.208	-1547.624	-1344.943	100.361
800	115.780	166.629	102.152	51.581	-1546.754	-1316.047	85.929
900	119.675	180.492	110.097	63.356	-1545.768	-1287.267	74.711
903.000	119.788	180.891	110.332	63.715	I <--> II
903.000	120.340	181.632	110.332	64.384	TRANSITION
1000	120.340	193.911	117.854	76.057	-1552.726	-1257.958	65.709
1100	120.340	205.381	125.298	88.091	-1552.043	-1228.515	58.337
1200	120.340	215.852	132.414	100.125	-1551.461	-1199.129	52.197
1258.000	120.340	221.532	136.393	107.105	II <--> III
1258.000	122.432	222.829	136.393	108.737	TRANSITION
1300	122.432	226.850	139.250	113.879	-1549.254	-1169.845	47.005
1400	122.432	235.923	145.836	126.122	-1676.053	-1137.516	42.441
1500	122.432	244.370	152.126	138.365	-1674.175	-1099.115	38.275
1600	122.432	252.271	158.141	150.609	-1672.377	-1060.837	34.633
1700	122.432	259.694	163.899	162.852	-1720.835	-1022.222	31.409
1800	122.432	266.692	169.417	175.095	-1718.964	-981.182	28.473
1850.000	122.432	270.046	172.091	181.217	III <--> LIQUID
1850.000	146.440	310.756	172.091	256.529	TRANSITION
1900	146.440	314.661	175.792	263.851	-1640.616	-942.295	25.906
2000	146.440	322.172	182.925	278.495	-1636.414	-905.650	23.653
2100	146.440	329.317	189.727	293.139	-1632.247	-869.215	21.621
2200	146.440	336.129	196.228	307.783	-1628.114	-832.976	19.777
2300	146.440	342.639	202.453	322.427	-1624.015	-796.926	18.099
2400	146.440	348.871	208.425	337.071	-1619.951	-761.053	16.564
2500	146.440	354.849	214.164	351.715	-1615.921	-725.349	15.155
2600	146.440	360.593	219.686	366.359	-1611.924	-689.805	13.858
2700	146.440	366.120	225.007	381.003	-1607.962	-654.414	12.660
2800	146.440	371.445	230.143	395.647	-1604.033	-619.169	11.551
2900	146.440	376.584	235.104	410.291	-1600.138	-584.065	10.520
3000	146.440	381.549	239.904	424.935	-1596.278	-549.093	9.561
