Lithium Hydroxide (LiOH)	H1Li1O1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-7.416	-479.144	-479.144	INFINITE
100	14.644	8.561	77.138	-6.858	-482.033	-468.453	244.695
200	35.977	25.632	46.982	-4.270	-484.089	-453.960	118.562
298.15	49.591	42.821	42.821	0.	-484.926	-438.958	76.904
300	49.761	43.128	42.822	0.092	-484.933	-438.672	76.380
400	58.053	58.678	44.886	5.517	-485.047	-423.222	55.267
500	63.647	72.260	49.032	11.614	-487.874	-407.475	42.569
600	68.208	84.277	53.924	18.212	-487.303	-391.441	34.078
700	72.279	95.101	59.045	25.239	-486.298	-375.538	28.023
744.300	73.970	99.588	61.326	28.479	CRYSTAL <--> LIQUID
800	76.086	105.002	64.180	32.658	484.920  359.805 23.493
900	79.747	114.176	69.231	40.450	-483.208	-344.265	19.981
1000	83.308	122.763	74.159	48.604	-481.174	-328.933	17.182
1100	86.814	130.868	78.950	57.110	-478.823	-313.820	14.902
1200	90.274	138.570	83.600	65.965	-476.158	-298.935	13.012
1300	93.705	145.932	88.113	75.164	-473.183	-284.285	11.423
1400	97.115	153.001	92.497	84.705	-469.897	-269.876	10.069
1500	100.508	159.817	96.759	94.586	-466.298	-255.713	8.905
