Barium Chloride (BaCl2)	Ba1Cl2(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.000	0.000	INFINITE	-16.707	-859.171	-859.171	INFINITE
100	56.961	49.346	187.175	-13.783	-860.857	-843.483	440.590
200	71.038	94.429	130.426	-7.199	-859.856	-826.420	215.839
298.15	75.140	123.666	123.666	0.000	-858.557	-810.290	141.959
300	75.195	124.131	123.668	0.139	-858.533	-809.990	141.032
400	77.329	146.082	126.646	7.774	-857.384	-793.994	103.685
500	78.857	163.505	132.335	15.585	-856.963	-778.216	81.300
600	80.425	178.018	138.772	23.547	-857.255	-762.428	66.375
700	82.233	190.548	145.293	31.678	-856.611	-746.684	55.718
800	84.299	201.661	151.657	40.003	-856.313	-730.992	47.729
900	86.624	211.721	157.780	48.546	-855.396	-715.380	41.520
1000	89.471	220.988	163.643	57.345	-854.241	-699.882	36.558
1100	93.531	229.692	169.256	66.480	-861.132	-683.694	32.466
1198.010	100.015	237.924	174.538	75.937	ALPHA <--> BETA
1198.010	123.846	252.033	174.538	92.840	TRANSITION
1200	123.846	252.239	174.666	93.087	-842.429	-667.664	29.063
1235.000	123.846	255.799	176.915	97.422	BETA <--> LIQUID
1300	123.846	262.152	181.020	105.472	837.859  653.284 26.249
1400	123.846	271.330	187.147	117.856	-833.221	-639.260	23.851
1500	123.846	279.874	193.047	130.241	-828.535	-625.569	21.784
1600	123.846	287.867	198.726	142.625	-823.823	-612.191	19.986
1700	123.846	295.375	204.193	155.010	-819.105	-599.109	18.408
1800	123.846	302.454	209.457	167.395	-814.402	-586.304	17.014
1900	123.846	309.150	214.529	179.779	-809.736	-573.759	15.774
2000	123.846	315.503	219.421	192.164	-805.128	-561.459	14.664
