Aluminum Chloride (AlCl3)	Al1Cl3(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-16.979	-704.300	-704.300	INFINITE
100	47.112	30.798	180.962	-15.016	-707.189	-681.219	355.832
200	79.203	75.145	117.298	-8.431	-706.962	-655.173	171.114
298.15	91.128	109.286	109.286	0.	-705.632	-630.018	110.377
300	91.295	109.850	109.288	0.169	-705.602	-629.549	109.614
400	100.081	137.318	112.974	9.738	-703.746	-604.464	78.935
465.700	105.854	152.965	117.529	16.503	CRYSTAL <--> LIQUID
500	108.868	160.594	120.224	20.185	701.288  579.914 60.583
600	117.654	181.219	128.701	31.511	-698.146	-555.922	48.397
700	126.440	200.016	137.565	43.716	-694.297	-532.513	39.737
800	135.227	217.473	146.474	56.799	-689.744	-509.703	33.280
900	144.013	233.908	155.284	70.761	-684.503	-487.506	28.294
1000	152.800	249.536	163.934	85.602	-689.183	-465.168	24.298
1100	161.586	264.511	172.401	101.321	-682.264	-443.094	21.041
1200	170.372	278.948	180.682	117.919	-674.484	-421.689	18.356
1300	179.159	292.932	188.781	135.396	-665.841	-400.967	16.111
1400	187.945	306.531	196.709	153.751	-656.333	-380.943	14.213
1500	196.732	319.797	204.474	172.985	-645.961	-361.629	12.593
