Potassium Carbonate (K2CO3)	C1K2O3(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-22.673	-1144.614	-1144.614	INFINITE
100	72.383	53.095	246.061	-19.297	-1149.119	-1121.217	585.664
200	99.140	113.018	165.506	-10.498	-1150.202	-1092.747	285.396
298.15	114.437	155.519	155.519	0.	-1150.182	-1064.528	186.501
300	114.699	156.228	155.521	0.212	-1150.176	-1063.997	185.258
400	128.135	191.103	160.186	12.367	-1154.457	-1034.430	135.083
500	140.049	221.005	169.426	25.790	-1153.165	-1004.553	104.945
600	150.666	247.493	180.270	40.334	-1151.017	-975.020	84.883
700	160.483	271.462	191.611	55.896	-1148.102	-945.907	70.584
800	170.043	293.516	202.989	72.422	-1144.456	-917.262	59.891
900	179.515	314.092	214.202	89.901	-1140.085	-889.118	51.603
1000	188.949	333.495	225.170	108.325	-1135.003	-861.499	45.000
1100	198.321	351.944	235.863	127.688	-1287.134	-825.202	39.186
1174.000	205.259	365.079	243.596	142.621	CRYSTAL <--> LIQUID
1200	207.695	369.602	246.277	147.989	1278.565  783.580 34.108
1300	217.066	386.596	256.421	169.227	-1269.158	-742.707	29.842
1400	226.438	403.026	266.309	191.403	-1258.901	-702.590	26.214
1500	235.810	418.968	275.958	214.515	-1247.784	-663.237	23.096
1600	245.182	434.486	285.383	238.565	-1235.802	-624.653	20.393
1700	254.555	449.631	294.601	263.552	-1222.949	-586.845	18.032
1800	263.927	464.446	303.626	289.476	-1209.226	-549.819	15.955
1900	273.299	478.967	312.474	316.337	-1194.631	-513.579	14.119
2000	282.671	493.224	321.156	344.135	-1179.164	-478.131	12.487
