Iron Chloride (FeCl3)	Cl3Fe1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-19.706	-400.833	-400.833	INFINITE
100	58.254	54.924	220.004	-16.508	-402.425	-378.960	197.948
200	86.219	105.867	150.854	-8.997	-401.240	-355.834	92.934
298.15	96.650	142.336	142.336	0.	-399.405	-333.930	58.503
300	96.860	142.935	142.338	0.179	-399.366	-333.524	58.072
400	106.692	172.135	146.251	10.354	-397.025	-311.913	40.732
500	119.872	197.194	153.973	21.611	-393.977	-290.964	30.397
577.000	121.754	214.368	160.911	30.845	CRYSTAL <--> LIQUID
600	123.428	219.165	163.053	33.667	390.455  270.691 23.566
700	128.658	238.611	172.484	46.289	-386.667	-251.027	18.732
800	131.796	256.012	181.857	59.324	-382.796	-231.914	15.142
900	133.470	271.644	190.980	72.598	-379.131	-213.278	12.378
1000	133.888	285.731	199.763	85.968	-376.113	-195.021	10.187
1100	133.888	298.491	208.167	99.357	-373.992	-177.000	8.405
1200	133.888	310.141	216.187	112.745	-371.336	-159.229	6.931
1300	133.888	320.858	223.832	126.134	-367.049	-141.727	5.695
1400	133.888	330.780	231.121	139.523	-362.860	-124.553	4.647
1500	133.888	340.017	238.076	152.912	-358.769	-107.674	3.750
