Sodium Sulfate (Na2SO4)	Na2O4S1(cr,l)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-23.217	-1376.361	-1376.361	INFINITE
100	66.542	43.120	247.007	-20.389	-1382.711	-1346.347	703.259
200	105.667	103.010	160.624	-11.523	-1386.221	-1308.422	341.725
298.15	128.143	149.595	149.595	0.	-1387.816	-1269.849	222.472
300	128.495	150.388	149.597	0.237	-1387.834	-1269.117	220.973
400	145.101	189.702	154.845	13.943	-1395.911	-1228.937	160.483
458.000	153.331	209.905	160.555	22.602	V <--> IV
458.000	153.331	210.462	160.555	22.857	TRANSITION
500	158.908	224.159	165.328	29.415	-1396.687	-1187.082	124.014
514.000	160.712	228.572	166.990	31.653	IV <--> I
514.000	170.732	249.793	166.990	42.560	TRANSITION
600	175.331	276.549	180.817	57.439	-1384.599	-1147.069	99.861
700	181.042	303.999	196.494	75.253	-1382.545	-1107.634	82.653
800	187.276	328.577	211.494	93.666	-1379.835	-1068.539	69.768
900	193.845	351.015	225.767	112.723	-1429.621	-1028.740	59.707
1000	200.309	371.773	239.342	132.431	-1424.467	-984.470	51.423
1100	206.731	391.166	252.272	152.784	-1418.821	-940.739	44.672
1157.000	210.367	401.702	259.376	164.671	I <--> LIQUID
1157.000	197.033	422.314	259.376	188.520	TRANSITION
1200	197.033	429.504	265.344	196.992	-1583.018	-893.538	38.895
1300	197.033	445.275	278.586	216.696	-1576.541	-836.345	33.605
1400	197.033	459.877	291.021	236.399	-1570.140	-779.647	29.089
1500	197.033	473.471	302.736	256.102	-1563.809	-723.405	25.191
1600	197.033	486.187	313.809	275.806	-1557.546	-667.583	21.794
1700	197.033	498.132	324.303	295.509	-1551.347	-612.150	18.809
1800	197.033	509.394	334.276	315.212	-1545.210	-557.081	16.166
1900	197.033	520.047	343.776	334.916	-1539.134	-502.351	13.811
2000	197.033	530.154	352.844	354.619	-1533.117	-447.939	11.699
2100	197.033	539.767	361.518	374.322	-1527.159	-393.827	9.796
2200	197.033	548.933	369.831	394.025	-1521.259	-339.997	8.073
2300	197.033	557.692	377.809	413.729	-1515.418	-286.435	6.505
2400	197.033	566.077	385.480	433.432	-1509.635	-233.125	5.074
2500	197.033	574.120	392.866	453.135	-1503.912	-180.055	3.762
2600	197.033	581.848	399.987	472.839	-1498.246	-127.213	2.556
2700	197.033	589.284	406.861	492.542	-1492.640	-74.587	1.443
2800	197.033	596.450	413.505	512.245	-1487.093	-22.168	0.414
2900	197.033	603.364	419.934	531.948	-1481.607	30.053	-0.541
3000	197.033	610.044	426.160	551.652	-1476.185	82.087	-1.429
