Niobium Oxide (NbO2)	Nb1O2(cr,l)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.271	-790.308	-790.308	INFINITE
100	21.143	11.275	96.297	-8.502	-793.224	-775.765	405.218
200	44.918	33.967	59.417	-5.090	-794.821	-757.542	197.850
298.15	57.452	54.506	54.506	0.	-794.960	-739.175	129.500
300	57.605	54.862	54.507	0.106	-794.954	-738.829	128.642
400	63.547	72.327	56.848	6.191	-794.348	-720.199	94.048
500	67.739	86.967	61.447	12.760	-793.403	-701.766	73.313
600	71.651	99.665	66.781	19.730	-792.205	-683.547	59.508
700	75.555	111.003	72.302	27.090	-790.755	-665.549	49.664
800	79.496	121.348	77.795	34.843	-789.037	-647.776	42.295
900	83.479	130.941	83.173	42.991	-787.033	-630.236	36.578
1000	87.500	139.945	88.405	51.540	-784.726	-612.934	32.016
1090.000	91.144	147.640	92.980	59.579	I <--> II
1090.000	92.885	150.780	92.980	63.001	TRANSITION
1100	92.885	151.628	93.510	63.930	-778.665	-595.911	28.297
1200	92.885	159.710	98.694	73.219	-775.786	-579.425	25.222
1200.000	92.885	159.710	98.694	73.219	II <--> III
1200.000	83.052	159.710	98.694	73.219	TRANSITION
1300	83.052	166.358	103.647	81.524	-773.962	-563.136	22.627
1400	83.052	172.513	108.349	89.829	-772.208	-546.984	20.408
1500	83.052	178.243	112.820	98.135	-770.526	-530.956	18.490
1600	83.052	183.603	117.078	106.440	-768.921	-515.038	16.814
1700	83.052	188.638	121.141	114.745	-767.398	-499.217	15.339
1800	83.052	193.385	125.024	123.050	-765.965	-483.484	14.030
1900	83.052	197.875	128.741	131.355	-764.626	-467.827	12.861
2000	83.052	202.135	132.305	139.661	-763.386	-452.239	11.811
2100	83.052	206.188	135.728	147.966	-762.251	-436.710	10.863
2175.000	83.052	209.102	138.208	154.195	III <--> LIQUID
2175.000	94.140	251.423	138.208	246.243	TRANSITION
2200	94.140	252.499	139.500	248.596	-668.901	-422.291	10.026
2300	94.140	256.683	144.505	258.010	-666.886	-411.128	9.337
2400	94.140	260.690	149.263	267.424	-664.998	-400.049	8.707
2500	94.140	264.533	153.798	276.838	-663.254	-389.046	8.129
2600	94.140	268.225	158.128	286.252	-661.676	-378.109	7.596
2700	94.140	271.778	162.272	295.666	-660.303	-367.229	7.104
2800	94.140	275.202	166.245	305.080	-685.546	-355.912	6.640
2900	94.140	278.505	170.059	314.494	-683.437	-344.177	6.199
3000	94.140	281.697	173.727	323.908	-681.347	-332.514	5.790
