Potassium Chloride (KCl)	Cl1K1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-11.368	-436.379	-436.379	INFINITE
100	39.200	31.773	125.871	-9.410	-437.610	-427.776	223.447
200	48.438	62.630	87.169	-4.908	-437.221	-418.052	109.184
298.15	51.287	82.554	82.554	0.	-436.684	-408.761	71.613
300	51.329	82.872	82.555	0.095	-436.675	-408.587	71.141
400	53.137	97.895	84.592	5.321	-438.662	-398.837	52.083
500	54.752	109.927	88.494	10.717	-438.160	-388.935	40.632
600	56.317	120.048	92.931	16.270	-437.462	-379.152	33.008
700	58.003	128.852	97.447	21.984	-436.580	-369.501	27.573
800	60.078	136.727	101.873	27.883	-435.508	-359.989	23.505
900	62.911	143.957	106.152	34.024	-434.210	-350.625	20.350
1000	66.969	150.782	110.276	40.505	-432.610	-341.420	17.834
1044.000	69.287	153.713	112.045	43.502	CRYSTAL <--> LIQUID
1100	71.965	157.406	114.261	47.460	509.549  327.785 15.565
1200	76.149	163.853	118.126	54.872	-506.096	-311.410	13.555
1300	79.496	170.086	121.885	62.662	-502.272	-295.339	11.867
1400	82.006	176.075	125.543	70.744	-498.159	-279.574	10.431
1500	83.680	181.794	129.104	79.035	-493.843	-264.111	9.197
