Vanadium Oxide (V2O3)	O3V2(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.000	0.000	INFINITE	-17.476	-1213.971	-1213.971	INFINITE
100	28.627	14.163	179.288	-16.512	-1218.342	-1192.325	622.807
168.800	63.053	38.652	116.725	-13.179	I <--> II
168.800	63.136	48.269	116.725	-11.555	TRANSITION
200	80.107	60.767	107.019	-9.250	-1219.118	-1165.403	304.372
298.15	104.963	98.067	98.067	0.000	-1218.799	-1139.036	199.554
300	105.260	98.717	98.069	0.194	-1218.779	-1138.542	198.238
400	117.540	130.898	102.373	11.410	-1217.149	-1112.018	145.215
500	123.750	157.887	110.854	23.516	-1214.951	-1085.983	113.452
600	127.326	180.791	120.651	36.084	-1212.566	-1060.412	92.317
700	130.071	200.631	130.691	48.958	-1210.125	-1035.245	77.251
800	132.639	218.168	140.550	62.094	-1207.662	-1010.430	65.974
900	135.246	233.940	150.065	75.488	-1205.180	-985.925	57.222
1000	137.957	248.329	159.182	89.147	-1202.658	-961.698	50.234
1100	140.786	261.609	167.897	103.083	-1200.079	-937.726	44.529
1200	143.718	273.984	176.228	117.307	-1197.445	-913.992	39.785
1300	146.741	285.607	184.199	131.830	-1194.750	-890.480	35.780
1400	149.841	296.594	191.839	146.658	-1191.997	-867.177	32.355
1500	153.005	307.040	199.173	161.800	-1189.178	-844.074	29.393
1600	156.221	317.017	206.229	177.261	-1186.283	-821.161	26.808
1700	159.481	326.585	213.029	193.045	-1183.324	-798.431	24.533
1800	162.782	335.794	219.595	209.158	-1180.305	-775.877	22.515
1900	166.112	344.684	225.946	225.603	-1177.243	-753.492	20.715
2000	169.468	353.290	232.099	242.382	-1174.151	-731.269	19.099
2100	172.847	361.640	238.070	259.497	-1171.047	-709.202	17.640
2200	176.246	369.759	243.872	276.952	-1213.709	-687.072	16.313
2300	179.655	377.669	249.518	294.747	-1210.901	-663.196	15.062
2340.000	181.021	380.778	251.736	301.960	II <--> LIQUID
2400	183.086	385.388	255.019	312.884	1207.784  639.449 13.917
2500	186.526	392.931	260.386	331.364	-1204.357	-615.837	12.867
2600	189.978	400.314	265.626	350.189	-1200.617	-592.369	11.901
2700	193.437	407.549	270.749	369.360	-1196.563	-569.051	11.009
2800	196.907	414.646	275.762	388.877	-1192.193	-545.888	10.184
