Aluminum Bromide (AlBr3)	Al1Br3(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-21.915	-491.896	-491.896	INFINITE
100	70.819	86.415	261.717	-17.530	-492.185	-492.051	257.021
200	89.947	142.206	189.044	-9.368	-493.176	-491.562	128.383
298.15	100.578	180.216	180.216	0.	-511.285	-488.515	85.586
300	100.816	180.839	180.218	0.186	-511.353	-488.374	85.033
370.600	113.078	203.294	182.510	7.703	CRYSTAL <--> LIQUID
400	117.780	211.773	184.330	10.977	554.791  471.592 61.584
500	123.846	238.919	192.612	23.154	-550.784	-451.247	47.141
600	124.265	261.541	202.271	35.562	-546.690	-431.725	37.585
700	124.348	280.703	212.142	47.993	-542.715	-412.880	30.810
800	124.432	297.313	221.773	60.432	-538.885	-394.596	25.764
900	124.516	311.974	230.997	72.879	-535.225	-376.781	21.868
1000	124.600	325.097	239.762	85.335	-542.346	-358.604	18.732
1100	124.683	336.977	248.068	97.799	-538.731	-340.405	16.164
1200	124.767	347.829	255.936	110.272	-535.122	-322.535	14.040
1300	124.851	357.819	263.394	122.753	-531.517	-304.965	12.254
1400	124.934	367.075	270.473	135.242	-527.917	-287.674	10.733
1500	125.018	375.697	277.204	147.739	-524.323	-270.639	9.424
