Potassium Sulfate, Alpha (K2SO4)	K2O4S1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-25.436	-1427.199	-1427.199	INFINITE
100	79.195	61.609	277.387	-21.578	-1433.305	-1396.431	729.421
200	110.667	127.344	186.920	-11.915	-1436.295	-1358.245	354.737
298.15	131.319	175.544	175.544	0.	-1437.706	-1319.595	231.188
300	131.666	176.357	175.546	0.243	-1437.723	-1318.862	229.634
400	147.649	216.494	180.911	14.233	-1445.229	-1278.152	166.909
500	160.733	250.870	191.544	29.663	-1446.060	-1236.272	129.153
600	172.527	281.186	204.005	46.309	-1445.397	-1194.353	103.978
700	186.368	308.829	217.031	64.259	-1443.295	-1152.659	86.012
800	199.619	334.580	230.132	83.558	-1439.835	-1111.361	72.564
857.000	207.169	348.575	237.547	95.151	ALPHA <--> BETA
900	212.865	358.856	243.098	104.182	1488.244  1069.491 62.072
1000	226.116	381.969	255.838	126.131	-1481.100	-1023.335	53.454
1100	239.365	404.142	268.319	149.405	-1630.753	-968.729	46.001
1200	252.613	425.538	280.534	174.004	-1619.296	-909.041	39.570
