Barium Fluoride (BaF2)	Ba1F2(cr,l)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.000	0.000	INFINITE	-14.454	-1207.475	-1207.475	INFINITE
100	43.897	29.894	155.326	-12.543	-1210.169	-1192.713	623.010
200	65.796	68.764	102.826	-6.812	-1209.912	-1175.206	306.932
298.15	72.204	96.397	96.397	0.000	-1208.758	-1158.410	202.949
300	72.304	96.844	96.398	0.134	-1208.734	-1158.097	201.643
400	75.940	118.170	99.281	7.556	-1207.548	-1141.405	149.052
500	78.450	135.397	104.837	15.280	-1207.007	-1124.951	117.523
600	80.333	149.864	111.167	23.218	-1207.165	-1108.515	96.505
700	82.383	162.395	117.610	31.350	-1206.400	-1092.143	81.497
800	84.935	173.549	123.917	39.705	-1205.980	-1075.841	70.245
900	88.701	183.750	130.005	48.370	-1204.877	-1059.636	61.500
1000	94.558	193.369	135.864	57.505	-1203.338	-1043.576	54.511
1100	104.182	202.789	141.520	67.396	-1209.444	-1026.882	48.763
1200	130.541	212.702	147.030	78.807	-1205.921	-1010.421	43.983
1240.000	194.914	217.601	149.222	84.790	ALPHA <--> BETA
1240.000	194.713	217.601	149.222	84.790	TRANSITION
1300	137.654	225.182	152.565	94.403	-1198.136	-994.440	39.957
1400	114.014	234.302	158.091	106.695	-1193.600	-978.956	36.525
1480.000	107.104	240.427	162.380	115.511	BETA <--> GAMMA
1480.000	107.654	242.234	162.380	118.184	TRANSITION
1500	107.654	243.679	163.454	120.337	-1187.676	-963.778	33.562
1600	107.654	250.627	168.687	131.103	-1184.612	-948.951	30.980
1641.000	107.654	253.351	170.769	135.517	GAMMA <--> LIQUID
1641.000	99.826	267.585	170.769	158.876	TRANSITION
1700	99.826	271.111	174.191	164.766	-1158.652	-935.148	28.734
1800	99.826	276.817	179.735	174.748	-1156.393	-922.066	26.758
1900	99.826	282.215	184.988	184.731	-1154.174	-909.108	24.993
2000	99.826	287.335	189.978	194.713	-1152.012	-896.266	23.408
2100	99.826	292.206	194.731	204.696	-1149.925	-883.531	21.977
2200	99.826	296.850	199.268	214.679	-1287.454	-865.517	20.550
2300	99.826	301.287	203.608	224.661	-1284.736	-846.400	19.222
2400	99.826	305.536	207.767	234.644	-1282.236	-827.396	18.008
2500	99.826	309.611	211.760	244.626	-1279.952	-808.492	16.893
2600	99.826	313.526	215.599	254.609	-1277.876	-789.675	15.865
2700	99.826	317.293	219.296	264.592	-1275.994	-770.935	14.915
2800	99.826	320.924	222.862	274.574	-1274.288	-752.261	14.034
2900	99.826	324.427	226.304	284.557	-1272.736	-733.645	13.214
3000	99.826	327.811	229.631	294.539	-1271.316	-715.080	12.451
3100	99.826	331.084	232.851	304.522	-1270.001	-696.561	11.737
3200	99.826	334.254	235.971	314.505	-1268.767	-678.082	11.069
3300	99.826	337.326	238.996	324.487	-1267.581	-659.642	10.441
3400	99.826	340.306	241.932	334.470	-1266.430	-641.237	9.851
3500	99.826	343.199	244.784	344.452	-1265.291	-622.866	9.296
