Beryllium Aluminum Oxide (BeAl2O4)	Al2Be1O4(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-13.088	-2285.491	-2285.491	INFINITE
100	16.365	5.523	132.214	-12.669	-2291.889	-2256.332	1178.587
200	66.430	31.982	74.785	-8.560	-2297.784	-2218.294	579.359
298.15	105.380	66.291	66.291	0.	-2300.782	-2178.542	381.672
300	105.940	66.945	66.293	0.195	-2300.815	-2177.784	379.186
400	130.280	101.047	70.777	12.108	-2301.703	-2136.594	279.011
500	145.250	131.854	79.971	25.942	-2301.355	-2095.338	218.899
600	154.970	159.252	90.946	40.983	-2300.371	-2054.220	178.836
700	161.750	183.668	102.480	56.832	-2299.118	-2013.292	150.234
800	166.830	205.612	114.024	73.271	-2297.811	-1972.550	128.794
900	170.870	225.503	125.322	90.163	-2296.605	-1931.966	112.128
1000	174.200	243.683	136.263	107.421	-2316.784	-1889.987	98.723
1100	177.030	260.423	146.799	124.986	-2315.359	-1847.375	87.725
1200	179.480	275.934	156.922	142.814	-2313.836	-1804.898	78.565
1300	181.670	290.388	166.639	160.873	-2312.239	-1762.550	70.820
1400	183.750	303.927	175.967	179.144	-2310.577	-1720.329	64.186
1500	185.910	316.677	184.926	197.625	-2308.849	-1678.228	58.441
1600	188.410	328.752	193.541	216.337	-2321.567	-1635.720	53.401
1700	191.560	340.263	201.836	235.326	-2319.211	-1592.925	48.945
1800	195.790	351.326	209.835	254.683	-2316.556	-1550.278	44.988
1900	201.570	362.058	217.566	274.535	-2313.473	-1507.788	41.452
2000	209.490	372.588	225.054	295.068	-2309.778	-1465.476	38.274
2100	220.190	383.055	232.329	316.525	-2305.227	-1423.369	35.404
2146.000	226.250	387.890	235.612	326.790	CRYSTAL <--> LIQUID
2200	233.098	393.597	239.419	339.191	2299.533  1381.503 32.801
2300	248.548	404.290	246.354	363.252	-2292.510	-1339.927	30.431
2400	266.455	415.238	253.162	388.982	-2283.885	-1298.690	28.265
