Potassium Silicate (K2SiO3)	K2O3Si1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-21.870	-1539.542	-1539.542	INFINITE
100	63.262	46.944	236.438	-18.949	-1544.710	-1515.904	791.827
200	98.198	103.052	156.335	-10.657	-1547.151	-1485.986	388.100
298.15	118.407	146.147	146.147	0.	-1548.080	-1455.733	255.038
300	118.758	146.881	146.149	0.219	-1548.089	-1455.160	253.366
400	135.562	183.448	151.021	12.971	-1552.872	-1423.255	185.858
500	148.114	215.101	160.743	27.179	-1551.745	-1390.957	145.312
600	157.737	242.994	172.173	42.492	-1549.626	-1358.985	118.310
700	164.850	267.859	184.099	58.632	-1546.808	-1327.426	99.054
800	170.707	290.268	195.992	75.420	-1543.488	-1296.307	84.640
900	175.310	310.648	207.617	92.728	-1539.816	-1265.627	73.455
1000	179.075	329.321	218.867	110.455	-1535.919	-1235.369	64.529
1100	182.004	346.523	229.700	128.505	-1689.825	-1196.287	56.807
1200	185.351	362.515	240.110	146.887	-1683.623	-1151.692	50.132
1249.000	186.376	369.955	245.059	155.996	CRYSTAL <--> LIQUID
1300	187.443	377.434	250.106	165.526	1677.256  1107.622 44.505
1400	189.535	391.401	259.705	184.375	-1670.768	-1064.047	39.700
1500	191.627	404.549	268.927	203.434	-1664.155	-1020.940	35.552
1600	193.719	416.983	277.795	222.701	-1657.416	-978.278	31.937
1700	195.811	428.790	286.333	242.177	-1700.727	-935.594	28.747
1800	197.903	440.042	294.562	261.863	-1693.505	-890.795	25.850
1900	199.995	450.798	302.504	281.758	-1686.116	-846.400	23.269
2000	202.087	461.110	310.179	301.862	-1678.564	-802.399	20.957
2100	204.179	471.020	317.603	322.175	-1670.852	-758.780	18.874
2200	206.271	480.567	324.795	342.698	-1662.982	-715.531	16.989
