Potassium Iodide (KI)	I1K1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-12.711	-326.930	-326.930	INFINITE
100	45.003	52.413	151.616	-9.920	-327.397	-326.028	170.300
200	50.518	85.772	111.148	-5.075	-327.612	-324.572	84.770
298.15	52.777	106.387	106.387	0.	-327.900	-323.024	56.592
300	52.806	106.713	106.388	0.098	-327.907	-322.994	56.238
400	53.932	122.054	108.472	5.433	-338.870	-320.549	41.859
500	55.363	134.235	112.446	10.894	-360.614	-313.870	32.790
600	57.300	144.490	116.953	16.522	-359.903	-304.584	26.516
700	59.777	153.503	121.543	22.372	-358.933	-295.437	22.046
800	62.639	161.668	126.055	28.490	-357.681	-286.448	18.703
900	65.793	169.225	130.437	34.909	-356.140	-277.633	16.113
954.000	67.594	173.111	132.743	38.510	CRYSTAL <--> LIQUID
1000	69.036	176.329	134.674	41.654	354.308  269.006 14.051
1100	71.546	183.033	138.769	48.691	-431.198	-255.964	12.155
1200	73.136	189.332	142.723	55.930	-427.954	-240.176	10.455
1300	74.090	195.226	146.537	63.295	-424.595	-224.663	9.027
1400	74.601	200.737	150.214	70.732	-421.182	-209.412	7.813
1500	74.927	205.895	153.756	78.209	-417.748	-194.405	6.770
1600	75.145	210.739	157.168	85.713	-414.313	-179.628	5.864
1700	75.234	215.297	160.454	93.232	-410.894	-165.065	5.072
1800	75.291	219.599	163.622	100.759	-407.503	-150.702	4.373
1900	75.317	223.671	166.676	108.290	-404.146	-136.527	3.753
2000	75.312	227.534	169.623	115.821	-400.829	-122.528	3.200
