Potassium Fluoride (K(HF2))	F2H1K1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-15.294	-926.386	-926.386	INFINITE
100	48.961	34.988	165.420	-13.043	-930.274	-908.140	474.363
200	67.070	75.565	110.999	-7.087	-931.188	-885.531	231.277
298.15	76.940	104.264	104.264	0.	-931.233	-863.095	151.211
300	77.111	104.741	104.266	0.142	-931.230	-862.672	150.205
400	86.065	128.152	107.398	8.302	-933.221	-839.415	109.616
469.850	92.450	142.501	111.566	14.535	ALPHA <--> BETA
469.850	100.249	166.384	111.566	25.757	TRANSITION
500	100.249	172.619	115.061	28.779	-920.678	-816.803	85.331
511.950	100.249	174.987	116.432	29.977	BETA <--> LIQUID
600	100.249	190.897	126.224	38.804	918.631  796.221 69.317
700	100.249	206.350	136.595	48.829	-916.622	-775.979	57.904
800	100.249	219.737	146.169	58.854	-914.660	-756.021	49.363
900	100.249	231.544	155.012	68.879	-912.760	-736.306	42.734
1000	100.249	242.106	163.203	78.903	-910.939	-716.799	37.442
1100	100.249	251.661	170.817	88.928	-988.173	-692.859	32.901
1200	100.249	260.384	177.923	98.953	-985.512	-666.130	28.996
1300	100.249	268.408	184.579	108.978	-982.895	-639.621	25.700
1400	100.249	275.837	190.835	119.003	-980.322	-613.312	22.883
1500	100.249	282.754	196.735	129.028	-977.791	-587.186	20.448
1600	100.249	289.224	202.316	139.053	-975.301	-561.227	18.322
1700	100.249	295.301	207.609	149.077	-972.851	-535.423	16.452
1800	100.249	301.031	212.641	159.102	-970.438	-509.761	14.793
1900	100.249	306.451	217.437	169.127	-968.060	-484.233	13.313
2000	100.249	311.594	222.017	179.152	-965.716	-458.829	11.983
