Strontium Chloride (SrCl2)	Cl2Sr1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-16.242	-829.344	-829.344	INFINITE
100	54.296	41.459	178.054	-13.659	-831.172	-813.612	424.988
200	70.735	85.571	121.583	-7.202	-830.241	-796.320	207.978
298.15	75.588	114.809	114.809	0.	-828.850	-779.965	136.647
300	75.659	115.277	114.810	0.140	-828.823	-779.661	135.751
400	78.889	137.512	117.820	7.877	-827.285	-763.503	99.703
500	81.321	155.385	123.603	15.891	-825.670	-747.743	78.116
600	83.659	170.415	130.185	24.138	-823.985	-732.315	63.754
700	86.580	183.518	136.887	32.642	-822.187	-717.177	53.516
800	90.793	195.336	143.465	41.497	-820.171	-702.309	45.856
900	96.977	206.364	149.846	50.866	-818.397	-687.644	39.910
1000	105.826	217.013	156.032	60.981	-815.052	-673.287	35.169
1000.010	105.827	217.014	156.033	60.982	ALPHA <--> BETA
1000.010	123.010	223.022	156.033	66.990	TRANSITION
1100	123.010	234.745	162.663	79.290	-811.429	-659.613	31.322
1147.000	123.010	239.892	165.723	85.071	BETA <--> LIQUID
1200	123.010	245.448	169.123	91.591	806.836  646.014 28.120
1300	123.010	255.294	175.378	103.892	-802.254	-632.798	25.426
1400	123.010	264.410	181.415	116.193	-797.681	-619.935	23.130
1500	123.010	272.897	187.235	128.494	-793.117	-607.398	21.151
1600	123.010	280.836	192.839	140.795	-788.562	-595.166	19.430
1700	123.010	288.293	198.237	153.096	-920.931	-582.038	17.884
1800	123.010	295.324	203.437	165.397	-914.533	-562.288	16.317
1900	123.010	301.975	208.450	177.698	-908.151	-542.893	14.925
2000	123.010	308.285	213.285	189.999	-901.787	-523.833	13.681
