Sodium Borate (NaBO2)	B1Na1O2(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-11.634	-970.998	-970.998	INFINITE
100	32.430	20.000	123.003	-10.300	-973.933	-956.190	499.463
200	53.371	49.752	79.193	-5.888	-975.221	-937.851	244.942
298.15	65.940	73.538	73.538	0.	-975.709	-919.389	161.073
300	66.149	73.947	73.539	0.122	-975.714	-919.039	160.019
400	75.396	94.289	76.250	7.215	-978.576	-899.905	117.516
500	82.718	111.927	81.660	15.133	-978.549	-880.232	91.957
600	88.575	127.543	88.030	23.707	-978.132	-860.601	74.922
700	93.303	141.562	94.693	32.808	-977.394	-841.067	62.761
800	97.236	154.285	101.359	42.340	-976.390	-821.658	53.649
900	100.500	165.932	107.896	52.232	-975.173	-802.387	46.569
1000	103.219	176.667	114.244	62.423	-973.793	-783.262	40.913
1100	105.269	186.607	120.376	72.854	-972.310	-764.280	36.293
1200	106.608	195.831	126.284	83.456	-1067.556	-742.995	32.342
1240.000	106.859	199.331	128.584	87.726	CRYSTAL <--> LIQUID
1300	107.320	204.391	131.967	94.151	1065.165  716.045 28.771
1400	108.127	212.374	137.429	104.923	-1062.774	-689.279	25.717
1500	108.935	219.861	142.677	115.776	-1060.375	-662.685	23.077
1600	109.742	226.917	147.724	126.710	-1057.963	-636.251	20.771
1700	110.549	233.595	152.580	137.724	-1055.536	-609.968	18.742
1800	111.356	239.936	157.259	148.820	-1053.090	-583.829	16.942
1900	112.162	245.979	161.770	159.996	-1050.624	-557.826	15.336
2000	112.968	251.752	166.126	171.252	-1048.138	-531.953	13.893
