Sodium Oxide (Na2O)	Na2O1(cr,l)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-12.399	-413.146	-413.146	INFINITE
100	32.752	16.649	128.981	-11.233	-416.111	-404.348	211.210
200	59.551	49.209	81.114	-6.381	-417.626	-391.841	102.338
298.15	69.103	75.042	75.042	0.	-417.982	-379.090	66.415
300	69.245	75.470	75.043	0.128	-417.985	-378.849	65.964
400	75.776	96.304	77.840	7.386	-423.456	-365.363	47.712
500	81.496	113.855	83.332	15.262	-423.312	-350.842	36.652
600	85.709	129.103	89.717	23.631	-422.555	-336.410	29.287
700	88.851	142.560	96.324	32.365	-421.353	-322.142	24.039
800	91.291	154.589	102.869	41.376	-419.828	-308.070	20.115
900	93.266	165.458	109.229	50.607	-418.075	-294.204	17.075
1000	94.918	175.373	115.355	60.018	-416.169	-280.541	14.654
1023.150	95.264	177.549	116.737	62.219	GAMMA <--> BETA
1023.150	95.265	179.266	116.737	63.977	TRANSITION
1100	96.353	186.205	121.351	71.340	-412.418	-267.206	12.689
1200	97.629	194.645	127.111	81.040	-603.913	-249.215	10.848
1243.150	98.140	198.103	129.516	85.264	BETA <--> ALPHA
1243.150	98.142	207.695	129.516	97.188	TRANSITION
1300	98.788	212.098	133.031	102.786	-588.116	-220.358	8.854
1400	99.860	219.459	138.945	112.719	-584.147	-192.218	7.172
1405.200	99.913	219.829	139.243	113.239	ALPHA <--> LIQUID
1405.200	104.600	253.773	139.243	160.936	TRANSITION
1500	104.600	260.601	146.700	170.853	-531.992	-167.596	5.836
1600	104.600	267.352	154.032	181.313	-527.523	-143.448	4.683
1700	104.600	273.693	160.886	191.773	-523.066	-119.580	3.674
1800	104.600	279.672	167.321	202.233	-518.622	-95.974	2.785
1900	104.600	285.328	173.384	212.693	-514.191	-72.614	1.996
2000	104.600	290.693	179.117	223.153	-509.772	-49.488	1.292
2100	104.600	295.796	184.552	233.613	-505.367	-26.582	0.661
2200	104.600	300.662	189.720	244.073	-500.976	-3.886	0.092
2300	104.600	305.312	194.646	254.533	-496.600	18.611	-0.423
2400	104.600	309.764	199.350	264.993	-492.240	40.918	-0.891
2500	104.600	314.034	203.853	275.453	-487.899	63.044	-1.317
2600	104.600	318.136	208.170	285.913	-483.576	84.996	-1.708
2700	104.600	322.084	212.316	296.373	-479.275	106.783	-2.066
2800	104.600	325.888	216.305	306.833	-474.998	128.410	-2.396
2900	104.600	329.559	220.147	317.293	-470.745	149.885	-2.700
3000	104.600	333.105	223.854	327.753	-466.522	171.214	-2.981
