Silicon Oxide, Quartz (SiO2)	O2Si1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.000	0.000	INFINITE	-6.916	-905.872	-905.872	INFINITE
100	15.686	9.694	72.496	-6.280	-908.406	-891.662	465.756
200	32.639	26.087	45.187	-3.820	-910.036	-874.223	228.324
298.15	44.589	41.463	41.463	0.000	-910.857	-856.443	150.045
300	44.769	41.740	41.464	0.083	-910.866	-856.106	149.061
400	53.430	55.874	43.333	5.017	-911.024	-837.812	109.407
500	59.643	68.499	47.127	10.686	-910.692	-819.539	85.617
600	64.417	79.808	51.648	16.896	-910.017	-801.368	69.765
700	68.768	90.063	56.414	23.554	-909.062	-783.331	58.453
800	73.701	99.555	61.220	30.668	-907.794	-765.452	49.979
847.000	76.509	103.840	63.467	34.196	I <--> II
847.000	67.417	104.700	63.467	34.924	TRANSITION
900	67.948	108.807	66.017	38.512	-905.918	-747.785	43.400
1000	68.952	116.018	70.662	45.357	-905.145	-730.256	38.145
1100	69.956	122.637	75.090	52.302	-904.365	-712.805	33.848
1200	70.961	128.767	79.311	59.348	-903.567	-695.426	30.271
1300	71.965	134.487	83.338	66.494	-902.744	-678.114	27.247
1400	72.969	139.857	87.185	73.741	-901.893	-660.866	24.657
1500	73.973	144.925	90.867	81.088	-901.011	-643.681	22.415
1600	74.977	149.731	94.397	88.535	-900.097	-626.555	20.455
1696.000	75.940	154.128	97.654	95.779	II <--> LIQUID
1700	75.981	154.307	97.787	96.083	949.326  609.041 18.714
1800	76.986	158.678	101.050	103.732	-948.113	-589.059	17.094
1900	77.990	162.868	104.194	111.480	-946.823	-569.146	15.647
2000	78.994	166.894	107.229	119.330	-945.456	-549.303	14.346
