Magnesium Chloride (MgCl2)	Cl2Mg1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-13.759	-641.196	-641.196	INFINITE
100	40.294	25.956	146.771	-12.081	-643.073	-625.817	326.893
200	63.575	62.664	95.923	-6.652	-642.688	-608.599	158.950
298.15	71.379	89.629	89.629	0.	-641.616	-592.087	103.731
300	71.496	90.071	89.630	0.132	-641.593	-591.780	103.038
400	75.709	111.276	92.493	7.513	-640.237	-575.376	75.136
500	78.145	128.451	98.022	15.215	-638.773	-559.328	58.433
600	79.873	142.857	104.326	23.119	-637.269	-543.580	47.323
700	81.253	155.274	110.737	31.176	-635.756	-528.085	39.406
800	82.550	166.209	117.001	39.366	-634.254	-512.806	33.483
900	83.847	176.007	123.022	47.686	-632.773	-497.714	28.887
987.000	84.977	183.795	128.040	55.030	CRYSTAL <--> LIQUID
1000	85.144	184.908	128.773	56.135	639.916  482.073 25.181
1100	86.417	193.083	134.252	64.714	-638.519	-466.356	22.145
1200	87.662	200.656	139.474	73.418	-637.007	-450.771	19.622
1300	88.880	207.721	144.455	82.245	-635.383	-435.316	17.491
1400	90.071	214.351	149.213	91.193	-761.057	-416.823	15.552
1500	91.235	220.605	153.766	100.258	-757.861	-392.346	13.663
1600	92.372	226.530	158.131	109.439	-754.559	-368.086	12.017
1700	93.482	232.163	162.321	118.732	-751.153	-344.035	10.571
1800	94.565	237.538	166.352	128.135	-747.647	-320.187	9.292
1900	95.621	242.679	170.235	137.644	-744.043	-296.537	8.152
2000	96.650	247.610	173.981	147.258	-740.346	-273.080	7.132
