Magnesium Sulfate (MgSO4)	Mg1O4S1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-15.390	-1250.399	-1250.399	INFINITE
100	36.313	19.979	160.297	-14.032	-1256.182	-1221.316	637.950
200	73.309	57.532	99.534	-8.400	-1260.022	-1184.778	309.432
298.15	96.232	91.396	91.396	0.	-1261.786	-1147.408	201.021
300	96.441	91.992	91.398	0.178	-1261.804	-1146.698	199.658
400	109.997	121.692	95.355	10.535	-1264.542	-1108.138	144.708
500	119.411	147.271	103.240	22.015	-1265.774	-1068.894	111.667
600	127.612	169.790	112.492	34.379	-1266.082	-1029.474	89.624
700	134.306	189.970	122.143	47.479	-1265.710	-990.061	73.879
800	140.499	208.314	131.785	61.223	-1264.839	-950.737	62.077
900	146.231	225.196	141.238	75.562	-1316.686	-910.467	52.842
1000	151.670	240.888	150.428	90.461	-1322.424	-864.769	45.171
1100	156.691	255.582	159.326	105.881	-1319.324	-819.150	38.898
1200	161.419	269.424	167.930	121.793	-1315.827	-773.831	33.684
1300	165.352	282.504	176.245	138.137	-1311.983	-728.819	29.284
1400	168.619	294.881	184.281	154.840	-1435.265	-680.946	25.406
1400.000	168.619	294.882	184.281	154.841	CRYSTAL <--> LIQUID
1500	171.389	306.611	192.049	171.843	1429.556  627.265 21.843
1600	173.787	317.750	199.560	189.105	-1423.656	-573.970	18.738
1700	175.895	328.350	206.826	206.591	-1417.595	-521.049	16.010
1800	177.778	338.458	213.861	224.276	-1411.397	-468.490	13.595
1900	179.477	348.117	220.675	242.140	-1405.080	-416.278	11.444
2000	181.033	357.363	227.279	260.166	-1398.658	-364.401	9.517
2100	182.468	366.230	233.686	278.342	-1392.145	-312.848	7.782
2200	183.807	374.750	239.906	296.657	-1385.549	-261.606	6.211
2300	185.067	382.949	245.948	315.101	-1378.878	-210.668	4.784
2400	186.259	390.850	251.822	333.668	-1372.138	-160.021	3.483
2500	187.393	398.477	257.537	352.351	-1365.335	-109.656	2.291
