Boron Oxide (B2O3)	B2O3(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.293	-1265.776	-1265.776	INFINITE
100	20.740	10.983	96.353	-8.537	-1269.425	-1244.466	650.042
200	43.844	32.869	59.093	-5.245	-1271.165	-1218.726	318.299
298.15	62.588	53.953	53.953	0.	-1271.936	-1192.796	208.973
300	62.927	54.341	53.954	0.116	-1271.944	-1192.305	207.599
400	77.948	74.600	56.614	7.194	-1272.047	-1165.729	152.229
500	89.287	93.269	62.105	15.582	-1271.710	-1139.180	119.009
600	98.115	110.360	68.744	24.969	-1271.024	-1112.733	96.872
700	105.228	126.039	75.825	35.149	-1270.036	-1086.426	81.070
723.000	106.692	129.464	77.477	37.587	CRYSTAL <--> LIQUID
800	111.169	140.489	83.017	45.978	1268.779  1060.279 69.229
900	116.190	153.879	90.156	57.351	-1267.277	-1034.304	60.029
1000	120.625	166.356	97.159	69.197	-1265.548	-1008.509	52.679
1100	124.516	178.039	103.986	81.458	-1263.611	-982.897	46.674
1200	128.072	189.029	110.620	94.092	-1261.478	-957.470	41.678
1300	131.294	199.409	117.054	107.061	-1259.167	-932.228	37.457
1400	134.306	209.251	123.291	120.344	-1256.684	-907.171	33.847
1500	137.110	218.614	129.336	133.916	-1254.042	-882.298	30.724
