Vanadium Oxide (V2O4)	O4V2(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.000	0.000	INFINITE	-18.100	-1418.617	-1418.617	INFINITE
100	36.907	18.652	186.891	-16.824	-1424.127	-1389.894	726.006
200	90.274	62.333	113.357	-10.205	-1427.002	-1354.252	353.694
298.15	115.399	103.525	103.525	0.000	-1427.162	-1318.445	230.986
300	115.787	104.240	103.527	0.214	-1427.150	-1317.770	229.444
340.000	123.336	119.218	104.501	5.004	I <--> II
340.000	127.621	145.675	104.501	13.999	TRANSITION
400	135.281	167.065	112.309	21.902	-1416.532	-1283.094	167.555
500	143.269	198.162	126.456	35.853	-1414.020	-1250.016	130.588
600	148.448	224.758	140.677	50.448	-1411.187	-1217.477	105.991
700	152.175	247.927	154.379	65.483	-1408.212	-1185.426	88.458
800	155.457	268.466	167.380	80.868	-1405.169	-1153.807	75.336
900	158.157	286.934	179.655	96.551	-1402.101	-1122.571	65.152
1000	160.682	303.729	191.236	112.494	-1399.025	-1091.677	57.023
1100	162.987	319.153	202.173	128.678	-1395.953	-1061.091	50.387
1200	165.209	333.430	212.523	145.089	-1392.908	-1030.784	44.869
1300	167.330	346.738	222.341	161.716	-1389.898	-1000.729	40.210
1400	169.406	359.215	231.677	178.553	-1386.944	-970.904	36.225
1500	171.429	370.972	240.575	195.595	-1384.045	-941.289	32.779
1600	173.427	382.100	249.076	212.838	-1381.201	-911.865	29.769
1700	175.302	392.669	257.214	230.273	-1378.439	-882.616	27.119
1800	177.343	402.746	265.022	247.904	-1375.760	-853.528	24.769
1818.000	177.728	404.513	266.394	251.100	II <--> LIQUID
1900	179.276	412.387	272.526	265.737	1373.179  824.586 22.669
2000	181.192	421.632	279.752	283.760	-1370.723	-795.777	20.784
2100	183.092	430.518	286.721	301.975	-1368.413	-767.087	19.080
2200	184.975	439.079	293.453	320.378	-1412.030	-738.293	17.529
