Cesium Chloride (CsCl)	Cl1Cs1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	9.146	3.540	INFINITE	-12.452	-442.979	-442.979	INFINITE
100	44.091	47.798	145.996	-9.820	-443.952	-433.786	226.587
200	50.128	80.726	105.914	-5.038	-443.369	-423.827	110.692
298.15	52.442	101.182	101.182	0.	-442.835	-414.360	72.594
300	52.472	101.506	101.183	0.097	-442.829	-414.183	72.116
400	54.685	116.906	103.267	5.455	-444.485	-404.011	52.758
500	56.902	129.347	107.277	11.035	-443.823	-393.965	41.157
600	59.099	139.916	111.858	16.835	-442.946	-384.072	33.436
700	61.296	149.191	116.541	22.855	-441.858	-374.343	27.934
743.000	62.237	152.873	118.538	25.511	ALPHA <--> BETA
743.000	63.388	157.941	118.538	29.276	TRANSITION
800	63.680	162.637	121.515	32.898	-436.758	-365.075	23.837
900	64.174	170.166	126.510	39.290	-435.321	-356.200	20.673
918.000	64.266	171.438	127.379	40.446	BETA <--> LIQUID
1000	64.685	176.954	131.221	45.733	500.972  343.789 17.958
1100	65.187	183.142	135.664	52.227	-498.433	-328.193	15.585
1200	65.689	188.836	139.860	58.771	-495.849	-312.830	13.617
1300	66.191	194.114	143.833	65.365	-493.220	-297.685	11.961
1400	66.693	199.037	147.602	72.009	-490.548	-282.744	10.549
1500	67.195	203.656	151.187	78.703	-487.831	-267.995	9.332
1600	67.697	208.008	154.604	85.447	-485.073	-253.429	8.274
1700	68.241	212.129	157.867	92.245	-482.272	-239.037	7.345
1800	68.743	216.044	160.991	99.094	-479.431	-224.811	6.524
1900	69.245	219.774	163.988	105.993	-476.556	-210.743	5.794
2000	69.747	223.338	166.867	112.943	-473.651	-196.828	5.141
