Tungsten Oxide (WO3)	O3W1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.000	0.000	INFINITE	-12.349	-837.259	-837.259	INFINITE
100	30.449	18.862	130.106	-11.124	-841.044	-815.973	426.221
200	58.196	49.480	82.212	-6.546	-842.841	-790.036	206.336
298.15	73.139	75.912	75.912	0.000	-842.909	-764.057	133.860
300	73.304	76.365	75.914	0.135	-842.900	-763.568	132.949
400	82.209	98.738	78.904	7.934	-842.022	-737.237	96.273
500	88.641	117.815	84.825	16.495	-840.563	-711.200	74.299
600	93.113	134.397	91.736	25.597	-838.758	-685.493	59.677
700	96.141	148.993	98.894	35.069	-836.769	-660.104	49.258
800	98.239	161.975	105.983	44.794	-834.694	-635.007	41.462
900	99.923	173.645	112.864	54.703	-832.582	-610.173	35.414
1000	101.671	184.261	119.480	64.781	-830.431	-585.575	30.587
1050.000	102.508	189.242	122.684	69.886	I <--> II
1050.000	98.144	190.655	122.684	71.369	TRANSITION
1100	98.963	195.239	125.879	76.296	-826.958	-561.262	26.652
1200	100.601	203.920	132.025	86.275	-825.128	-537.188	23.383
1300	102.238	212.037	137.871	96.417	-823.230	-513.269	20.623
1400	103.875	219.674	143.444	106.722	-821.261	-489.499	18.263
1500	105.512	226.896	148.769	117.192	-819.216	-465.873	16.223
1600	107.149	233.758	153.868	127.825	-817.094	-442.386	14.442
1700	108.787	240.303	158.761	138.621	-814.892	-419.034	12.875
1745.000	109.537	243.155	160.901	143.534	II <--> LIQUID
1800	110.458	246.569	163.467	149.583	812.608  395.814 11.486
1900	112.131	252.586	168.000	160.713	-810.240	-372.723	10.247
2000	113.805	258.380	172.375	172.010	-807.788	-349.758	9.135
2100	115.478	263.973	176.604	183.474	-805.252	-326.919	8.132
2200	117.152	269.383	180.699	195.105	-802.632	-304.201	7.223
2300	118.826	274.628	184.670	206.904	-799.928	-281.606	6.395
2400	120.499	279.720	188.524	218.870	-797.139	-259.130	5.640
2500	122.173	284.673	192.272	231.004	-794.266	-236.772	4.947
2600	123.846	289.498	195.919	243.305	-791.305	-214.530	4.310
2700	125.520	294.203	199.472	255.773	-788.282	-192.404	3.722
2800	127.194	298.798	202.938	268.409	-785.231	-170.389	3.179
2900	128.867	303.291	206.321	281.212	-782.191	-148.486	2.675
3000	130.541	307.688	209.627	294.182	-779.188	-126.684	2.206
