T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     39.017                  -11.214               
200     25.028                  -12.136               
250     23.538                  -12.306               
298.15  23.197                  -12.439               
300     23.197                  -12.444               
350     23.461                  -13.287               
400     24.058                  -13.463               
450     24.846                  -13.601               
500     25.742                  -13.706               
600     27.687                  -13.819               
700     29.694                  -13.796               
800     31.687                  -13.632               
900     33.636                  -13.325               
1000    35.530                  -12.876               
