T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  48.953                  -802.784              
300     48.954                  -803.137              
400     51.189                  -822.007              
500     55.615                  -840.448              
600     60.791                  -858.451              
700     66.205                  -875.889              
800     71.675                  -892.782              
900     77.109                  -909.325              
1000    82.452                  -925.719              
1100    87.666                  -942.200              
1200    92.725                  -958.913              
1300    97.615                  -975.905              
1400    102.332                 -993.213              
1500    106.878                 -1010.864             
