T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     673.238                 -1735.045             
200     390.475                 -1746.258             
298.15  345.373                 -1720.402             
300     345.379                 -1720.258             
400     358.216                 -1713.566             
500     383.430                 -1703.672             
600     412.845                 -1690.930             
700     443.535                 -1675.434             
800     474.321                 -1657.267             
900     504.706                 -1689.591             
1000    534.486                 -1664.947             
