# P  (bar)  T  (K)
3.1623e+01 1811.89
2.6303e+01 1810.94
2.1878e+01 1810.15
1.8197e+01 1809.49
1.5136e+01 1808.95
1.2589e+01 1808.49
1.0471e+01 1808.11
8.7096e+00 1807.79
7.2444e+00 1807.53
6.0256e+00 1807.31
5.0119e+00 1807.13
4.1687e+00 1806.98
3.4674e+00 1806.85
2.8840e+00 1806.72
2.3988e+00 1806.53
1.9953e+00 1806.13
1.6596e+00 1805.28
1.3804e+00 1803.74
1.1482e+00 1800.58
9.5499e-01 1794.95
7.9433e-01 1786.63
6.6069e-01 1775.37
5.4954e-01 1761.10
4.5709e-01 1742.36
3.8019e-01 1719.64
3.1623e-01 1694.10
2.6303e-01 1666.15
2.1878e-01 1636.21
1.8197e-01 1603.03
1.5136e-01 1567.62
1.2589e-01 1531.33
1.0471e-01 1494.55
8.7096e-02 1457.64
7.2444e-02 1419.59
6.0256e-02 1381.49
5.0119e-02 1344.49
4.1687e-02 1308.85
3.4674e-02 1274.79
2.8840e-02 1241.70
2.3988e-02 1210.33
1.9953e-02 1181.29
1.6596e-02 1154.58
1.3804e-02 1130.21
1.1482e-02 1107.77
9.5499e-03 1087.54
7.9433e-03 1069.59
6.6069e-03 1053.75
5.4954e-03 1039.86
4.5709e-03 1027.65
3.8019e-03 1017.06
3.1623e-03 1007.96
2.6303e-03 1000.17
2.1878e-03  993.52
1.8197e-03  987.86
1.5136e-03  983.06
1.2589e-03  979.01
1.0471e-03  975.61
8.7096e-04  972.75
7.2444e-04  970.35
6.0256e-04  968.34
5.0119e-04  966.66
4.1687e-04  965.26
3.4674e-04  964.09
2.8840e-04  963.12
2.3988e-04  962.31
1.9953e-04  961.63
1.6596e-04  961.07
1.3804e-04  960.60
1.1482e-04  960.22
9.5499e-05  959.89
7.9433e-05  959.63
6.6069e-05  959.40
5.4954e-05  959.22
4.5709e-05  959.07
3.8019e-05  958.94
3.1623e-05  958.83
2.6303e-05  958.75
2.1878e-05  958.67
1.8197e-05  958.61
1.5136e-05  958.56
1.2589e-05  958.52
1.0471e-05  958.49
8.7096e-06  958.46
7.2444e-06  958.43
6.0256e-06  958.41
5.0119e-06  958.40
4.1687e-06  958.38
3.4674e-06  958.37
2.8840e-06  958.36
2.3988e-06  958.36
