Lead Oxide, Red (PbO)	O1Pb1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.000	0.000	INFINITE	-9.109	-217.297	-217.297	INFINITE
100	26.870	24.765	101.583	-7.682	-219.089	-209.218	109.284
200	40.476	48.028	69.262	-4.247	-219.634	-199.037	51.983
298.15	45.773	66.316	66.316	0.000	-219.409	-189.283	33.162
300	45.866	66.600	66.317	0.085	-219.401	-189.096	32.925
400	50.375	80.434	68.173	4.904	-218.796	-179.077	23.385
500	53.430	92.066	71.821	10.123	-217.921	-169.245	17.681
600	55.396	101.992	76.042	15.570	-216.942	-159.601	13.894
700	56.651	110.626	80.380	21.172	-220.789	-149.325	11.143
762.000	57.430	115.466	83.040	24.709	I <--> II
800	57.907	118.273	84.647	26.900	219.747  139.186 9.088
900	59.162	125.166	88.773	32.754	-218.581	-129.185	7.498
1000	60.417	131.464	92.731	38.733	-217.288	-119.320	6.233
1100	61.672	137.281	96.520	44.837	-215.863	-109.591	5.204
1200	62.927	142.701	100.145	51.067	-214.301	-99.998	4.353
1300	64.183	147.788	103.616	57.423	-212.608	-90.540	3.638
1400	65.438	152.590	106.944	63.904	-210.796	-81.218	3.030
