Lithium Borate (LiBO2)	B1Li1O2(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-8.975	-1013.678	-1013.678	INFINITE
100	18.795	10.192	93.035	-8.284	-1016.411	-999.334	521.999
200	43.133	31.104	56.731	-5.125	-1018.338	-981.412	256.319
298.15	60.371	51.731	51.731	0.	-1019.222	-963.070	168.726
300	60.618	52.105	51.732	0.112	-1019.231	-962.722	167.625
400	71.145	71.112	54.252	6.744	-1019.534	-943.833	123.252
500	78.605	87.818	59.329	14.244	-1022.756	-924.575	96.590
600	85.057	102.728	65.341	22.432	-1022.692	-904.938	78.782
700	91.098	116.297	71.665	31.242	-1022.217	-885.344	66.065
800	96.939	128.844	78.038	40.645	-1021.330	-865.847	56.534
900	102.675	140.594	84.342	50.627	-1020.027	-846.485	49.129
1000	108.353	151.706	90.528	61.178	-1018.286	-827.292	43.213
1100	113.989	162.298	96.574	72.296	-1016.088	-808.295	38.383
1117.000	114.943	164.053	97.588	74.241	CRYSTAL <--> LIQUID
1200	119.604	172.457	102.477	83.975	1013.422  789.519 34.367
1300	125.202	182.251	108.239	96.216	-1010.279	-770.984	30.979
1400	130.788	191.734	113.866	109.015	-1006.649	-752.710	28.084
1500	136.369	200.948	119.366	122.373	-1002.524	-734.713	25.585
1600	141.938	209.927	124.747	136.288	-997.901	-717.007	23.408
1700	147.507	218.699	130.016	150.761	-1138.015	-692.429	21.276
1800	153.072	227.288	135.182	165.790	-1131.636	-666.400	19.338
1900	158.636	235.713	140.252	181.375	-1124.764	-640.739	17.615
2000	164.193	243.991	145.233	197.517	-1117.396	-615.452	16.074
