Lead Iodide (PbI2)	I2Pb1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-19.501	-174.817	-174.817	INFINITE
100	69.789	93.717	242.109	-14.839	-174.972	-174.562	91.182
200	75.396	144.332	181.860	-7.506	-175.096	-174.116	45.474
298.15	77.573	174.836	174.836	0.	-175.393	-173.577	30.410
300	77.613	175.316	174.838	0.144	-175.400	-173.566	30.221
400	78.856	197.846	177.901	7.978	-191.933	-172.328	22.504
500	80.391	215.574	183.723	15.925	-234.996	-163.287	17.059
600	83.713	230.498	190.305	24.116	-233.448	-149.087	12.979
683.000	87.780	241.591	195.872	31.226	CRYSTAL <--> LIQUID
700	88.743	243.761	197.009	32.726	236.428  134.371 10.027
800	95.102	256.015	203.627	41.910	-234.040	-119.947	7.832
900	102.428	267.637	210.098	51.784	-230.941	-105.864	6.144
1000	110.064	278.821	216.415	62.406	-227.076	-92.166	4.814
