Iodine Chloride (ICl)	Cl1I1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-12.163	-36.395	-36.395	INFINITE
100	40.246	45.693	143.013	-9.732	-36.945	-29.015	15.156
200	49.539	77.011	102.805	-5.159	-36.357	-21.267	5.554
298.15	55.229	97.927	97.927	0.	-35.422	-14.049	2.461
300	55.325	98.268	97.928	0.102	-35.401	-13.917	2.423
300.530	55.589	98.366	97.928	0.131	CRYSTAL <--> LIQUID
400	60.195	114.866	100.158	5.883	42.174  6.656 0.869
500	64.379	128.756	104.525	12.116	-61.826	4.083	-0.427
600	68.145	140.833	109.591	18.745	-58.889	16.995	-1.480
700	71.489	151.594	114.836	25.731	-55.624	29.389	-2.193
800	74.412	161.335	120.049	33.029	-52.065	41.294	-2.696
900	76.914	170.249	125.139	40.599	-48.250	52.737	-3.061
1000	78.994	178.464	130.066	48.398	-44.220	63.743	-3.330
