Iron Chloride (FeCl2)	Cl2Fe1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-16.273	-344.419	-344.419	INFINITE
100	50.895	44.782	181.905	-13.712	-345.192	-330.163	172.460
200	70.734	88.442	124.802	-7.272	-343.558	-315.664	82.443
298.15	76.664	117.947	117.947	0.	-341.833	-302.342	52.969
300	76.735	118.421	117.948	0.142	-341.800	-302.097	52.600
400	79.668	140.921	120.996	7.970	-340.070	-289.125	37.756
500	81.638	158.919	126.840	16.039	-338.424	-276.581	28.894
600	83.107	173.937	133.473	24.278	-336.904	-264.358	23.014
700	84.375	186.845	140.197	32.654	-335.526	-252.378	18.833
800	85.508	198.187	146.751	41.149	-334.345	-240.583	15.708
900	86.504	208.317	153.039	49.751	-333.492	-228.919	13.286
950.000	86.944	213.006	156.072	54.087	CRYSTAL <--> LIQUID
1000	87.354	217.476	159.032	58.445	333.282  217.320 11.352
1100	88.013	225.834	164.730	67.214	-333.906	-205.678	9.767
1200	88.554	233.516	170.147	76.043	-333.928	-194.039	8.446
1300	88.962	240.621	175.298	84.920	-332.267	-182.449	7.331
1400	89.287	247.226	180.202	93.833	-330.663	-170.986	6.380
1500	89.507	253.394	184.879	102.773	-329.125	-159.634	5.559
1600	89.684	259.177	189.343	111.733	-327.659	-148.383	4.844
1700	89.817	264.618	193.613	120.708	-327.220	-137.202	4.216
1800	89.907	269.754	197.702	129.695	-326.248	-126.053	3.658
1900	89.953	274.617	201.623	138.688	-339.460	-114.254	3.141
2000	89.956	279.231	205.389	147.684	-338.904	-102.416	2.675
