Sodium Sulfate, V (Na2SO4)	Na2O4S1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-23.217	-1376.361	-1376.361	INFINITE
100	66.542	43.120	247.007	-20.389	-1382.711	-1346.347	703.259
200	105.667	103.010	160.624	-11.523	-1386.221	-1308.422	341.725
298.15	128.143	149.595	149.595	0.	-1387.816	-1269.849	222.472
300	128.495	150.388	149.597	0.237	-1387.834	-1269.117	220.973
400	145.101	189.702	154.845	13.943	-1395.911	-1228.937	160.483
458.000	153.331	209.905	160.555	22.602	V <--> IV
500	158.908	223.596	165.280	29.158	1396.944  1187.058 124.011
600	171.322	253.678	177.551	45.676	-1396.362	-1145.110	99.691
700	182.933	280.966	190.404	63.393	-1394.406	-1103.372	82.335
800	194.046	306.122	203.316	82.245	-1391.257	-1061.997	69.341
900	204.828	329.602	216.057	102.190	-1440.154	-1020.002	59.199
1000	215.371	351.731	228.529	123.202	-1433.696	-973.656	50.859
