Calcium Iodide (CaI2)	Ca1I2(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-17.965	-535.838	-535.838	INFINITE
100	61.840	67.860	210.957	-14.310	-536.213	-535.303	279.614
200	73.304	115.131	152.260	-7.426	-536.530	-534.267	139.536
298.15	77.157	145.287	145.287	0.	-536.807	-533.097	93.396
300	77.195	145.764	145.288	0.143	-536.813	-533.074	92.816
400	79.161	168.244	148.340	7.962	-553.267	-531.211	69.369
500	81.170	186.124	154.168	15.978	-596.213	-521.572	54.488
600	83.136	201.097	160.775	24.194	-594.694	-506.786	44.120
700	85.103	214.060	167.481	32.605	-593.188	-492.254	36.732
800	87.069	225.553	174.035	41.214	-592.553	-477.833	31.199
900	89.036	235.921	180.344	50.019	-591.064	-463.583	26.906
1000	91.002	245.403	186.383	59.021	-589.684	-449.494	23.479
1052.000	92.048	250.043	189.416	63.780	CRYSTAL <--> LIQUID
1100	93.000	254.171	192.152	68.221	588.422  435.537 20.682
1200	94.977	262.348	197.664	77.620	-595.016	-421.067	18.329
1300	96.943	270.028	202.938	87.216	-592.776	-406.661	16.340
1400	98.910	277.284	207.992	97.009	-590.370	-392.433	14.642
1500	100.876	284.175	212.843	106.998	-587.808	-378.384	13.176
