Molybdenum Oxide (MoO3)	Mo1O3(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-12.590	-740.150	-740.150	INFINITE
100	31.648	19.553	132.814	-11.326	-743.735	-718.992	375.563
200	59.279	50.977	84.136	-6.632	-745.249	-693.504	181.125
298.15	74.881	77.760	77.760	0.	-745.170	-668.079	117.045
300	75.107	78.224	77.761	0.139	-745.158	-667.601	116.240
400	83.094	101.065	80.821	8.098	-744.111	-641.890	83.822
500	87.751	120.130	86.830	16.650	-742.696	-616.494	64.405
600	91.776	136.487	93.775	25.627	-741.074	-591.403	51.486
700	95.814	150.936	100.927	35.006	-739.250	-566.599	42.280
800	100.031	164.003	108.007	44.796	-737.186	-542.072	35.394
900	104.441	176.037	114.906	55.018	-734.839	-517.821	30.054
1000	109.039	187.278	121.587	65.691	-732.172	-493.847	25.796
1074.000	112.562	195.186	126.387	73.889	CRYSTAL <--> LIQUID
1100	113.792	197.894	128.046	76.833	729.156  470.158 22.326
1200	118.679	208.004	134.291	88.455	-725.775	-446.759	19.447
1300	123.683	217.700	140.336	100.573	-722.014	-423.657	17.023
1400	128.779	227.052	146.198	113.195	-717.862	-400.860	14.956
1500	133.959	236.113	151.892	126.331	-713.312	-378.374	13.176
