T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  90.099                  -543.849              
300     90.101                  -543.801              
400     93.005                  -543.284              
500     98.491                  -540.693              
600     104.633                 -538.131              
700     110.792                 -535.598              
800     116.738                 -533.090              
900     122.394                 -530.606              
1000    127.743                 595.271               
1100    132.794                 -591.804              
1200    137.565                 -588.351              
1300    142.077                 -584.909              
1400    146.352                 -581.479              
1500    150.410                 -578.062              
1600    154.270                 -574.656              
1700    157.948                 -571.265              
1800    161.459                 -567.889              
1900    164.818                 -564.530              
2000    168.035                 -561.191              
2100    171.123                 -557.874              
2200    174.090                 -554.583              
2300    176.945                 -551.320              
2400    179.697                 -548.089              
2500    182.352                 -544.894              
2600    184.917                 -541.740              
2700    187.398                 -538.630              
2800    189.799                 -535.570              
2900    192.126                 -532.565              
3000    194.383                 -529.619              
