T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     197.042                 -648.360              
200     126.026                 -649.864              
298.15  116.847                 -651.030              
300     116.849                 -651.052              
400     121.114                 -658.794              
500     129.449                 -664.059              
600     139.035                 -668.050              
700     148.848                 -671.218              
800     158.484                 -673.970              
900     167.784                 -835.933              
1000    176.693                 -856.026              
1100    185.202                 -854.495              
1200    193.323                 -852.846              
1300    201.076                 -851.107              
1400    208.483                 -849.304              
1500    215.568                 -847.463              
