T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     355.684                 -163.089              
200     218.991                 -162.255              
298.15  200.983                 -160.666              
300     200.987                 -160.628              
400     209.591                 -159.033              
500     226.622                 -156.663              
600     246.427                 -154.596              
700     266.865                 -152.839              
800     287.061                 -151.313              
900     306.660                 -150.046              
1000    325.534                 -149.159              
1100    343.655                 -148.794              
1200    361.045                 -149.015              
1300    377.743                 -149.909              
1400    393.798                 -151.542              
1500    409.259                 -153.940              
1600    424.171                 -157.128              
1700    438.580                 -161.123              
1800    452.525                 -165.938              
1900    466.043                 -171.585              
2000    479.166                 -178.075              
2100    491.924                 -185.417              
2200    504.344                 -328.970              
2300    516.450                 -325.008              
2400    528.264                 -320.295              
2500    539.805                 -314.828              
