T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  170.314                 -169.452              
300     170.315                 -169.504              
400     173.306                 -199.068              
500     179.055                 -197.492              
600     190.830                 -176.100              
700     202.374                 -231.103              
800     212.861                 -226.726              
900     222.440                 -222.359              
1000    231.239                 -218.003              
1100    239.368                 -213.656              
1200    246.917                 -209.317              
1300    253.960                 -204.987              
1400    260.557                 -200.666              
1500    266.762                 -196.355              
