T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     143.089                 -287.427              
200     103.207                 -287.621              
298.15  98.500                  -287.859              
300     98.501                  -287.865              
400     100.570                 -299.000              
500     104.526                 -320.758              
600     109.008                 -320.088              
700     113.554                 -319.244              
800     117.990                 -318.250              
900     122.255                 -317.128              
1000    128.036                 -292.002              
1100    134.112                 -290.333              
1200    139.667                 -385.474              
1300    144.784                 -382.995              
1400    149.527                 -380.532              
1500    153.946                 -378.089              
1600    158.084                 -375.672              
1700    161.973                 -373.283              
1800    165.642                 -370.927              
1900    169.115                 -368.607              
2000    172.411                 -366.322              
2100    175.548                 -364.071              
2200    178.540                 -361.854              
2300    181.400                 -359.666              
2400    184.139                 -357.503              
2500    186.767                 -355.360              
2600    189.293                 -353.233              
2700    191.724                 -351.116              
2800    194.067                 -349.005              
2900    196.329                 -346.897              
3000    198.514                 -344.787              
