T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     305.968                 -3.969                
200     193.426                 -17.619               
298.15  176.565                 -28.870               
300     176.569                 -29.048               
400     190.551                 -13.724               
500     223.047                 -18.015               
600     256.431                 -21.421               
700     289.567                 -22.653               
800     322.036                 -21.973               
900     353.628                 -19.718               
1000    384.250                 -16.170               
1100    413.871                 -11.661               
1200    442.486                 -6.555                
1300    470.106                 -1.225                
1400    496.746                 3.946                 
1500    522.425                 8.574                 
