T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
298.15  238.488                 -527.184              
300     238.491                 -527.097              
400     244.739                 -522.070              
500     259.580                 -497.452              
600     279.844                 -491.576              
700     298.522                 -485.856              
800     315.680                 -480.253              
900     331.472                 -474.748              
1000    346.062                 -469.329              
1100    359.599                 -463.995              
1200    372.213                 -458.745              
