T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     328.883                 -735.164              
200     235.865                 -736.473              
298.15  224.689                 -760.651              
300     224.692                 -760.747              
400     229.650                 -819.539              
500     239.139                 -816.496              
600     249.879                 -813.375              
700     260.738                 -810.213              
800     271.295                 -807.037              
900     281.398                 -803.864              
1000    291.007                 -800.703              
