T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     242.109                 -174.972              
200     181.860                 -175.096              
298.15  174.836                 -175.393              
300     174.838                 -175.400              
400     177.901                 -191.933              
500     183.723                 -234.996              
600     190.305                 -233.448              
700     197.848                 -212.652              
800     208.864                 -208.591              
900     218.944                 -204.509              
1000    228.217                 -200.408              
1100    236.792                 -196.290              
1200    244.762                 -192.159              
1300    252.203                 -188.028              
1400    259.178                 -183.920              
1500    265.740                 -179.855              
