T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     101.583                 -219.089              
200     69.262                  -219.634              
298.15  66.316                  -219.409              
300     66.317                  -219.401              
400     68.173                  -218.796              
500     71.821                  -217.921              
600     76.042                  -216.942              
700     80.380                  -220.789              
800     84.654                  -219.687              
900     88.769                  -218.803              
1000    92.689                  -217.779              
1100    96.421                  -216.615              
1200    100.735                 -189.586              
1300    105.796                 -187.748              
1400    110.491                 -185.918              
1500    114.870                 -184.103              
1600    118.973                 -182.309              
1700    122.832                 -180.540              
1800    126.475                 -178.800              
1900    129.924                 -177.089              
2000    133.200                 -175.410              
2100    136.318                 -350.985              
2200    139.294                 -348.982              
2300    142.140                 -347.078              
2400    144.866                 -345.276              
2500    147.482                 -343.577              
